"SubscriptionId","SubscriptionName","ResourceGroupName","VNetName","VNetId","Location","AddressSpace","SubnetCount","WorkloadType","Tags"
"5f6f109e-8077-4fce-a032-3d411e57b8f6","GRP_AVDLandingZone_SUB","RG-PRD-AVD-Net-AZE","vNET01-PRD-AVD-LZ-DownerAU-AZE","/subscriptions/5f6f109e-8077-4fce-a032-3d411e57b8f6/resourceGroups/RG-PRD-AVD-Net-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-PRD-AVD-LZ-DownerAU-AZE","australiaeast","10.150.104.0/21","2","Production","No tags"
"5f6f109e-8077-4fce-a032-3d411e57b8f6","GRP_AVDLandingZone_SUB","RG-PRD-AVD-Net-AZE","vNET01-PRD-AVD-LZ-DownerNZ-AZE","/subscriptions/5f6f109e-8077-4fce-a032-3d411e57b8f6/resourceGroups/RG-PRD-AVD-Net-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-PRD-AVD-LZ-DownerNZ-AZE","australiaeast","10.150.112.0/22","2","Production","No tags"
"5f6f109e-8077-4fce-a032-3d411e57b8f6","GRP_AVDLandingZone_SUB","RG-PRD-AVD-Net-AZE","vNET01-PRD-AVD-LZ-Secure-AZE","/subscriptions/5f6f109e-8077-4fce-a032-3d411e57b8f6/resourceGroups/RG-PRD-AVD-Net-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-PRD-AVD-LZ-Secure-AZE","australiaeast","10.150.120.0/21","1","Production","No tags"
"5f6f109e-8077-4fce-a032-3d411e57b8f6","GRP_AVDLandingZone_SUB","RG-PRD-AVD-Net-AZE","vNET01-PRD-AVD-LZ-Spotless-AZE","/subscriptions/5f6f109e-8077-4fce-a032-3d411e57b8f6/resourceGroups/RG-PRD-AVD-Net-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-PRD-AVD-LZ-Spotless-AZE","australiaeast","10.150.116.0/22","2","Production","No tags"
"7832f112-272f-4fa0-b0f1-54d8dbbde30e","GRP_AVDManagement_PRD_SUB","RG-PRD-AVD-Net-AZE","vNET01-PRD-AVD-Mgmt-AZE","/subscriptions/7832f112-272f-4fa0-b0f1-54d8dbbde30e/resourceGroups/RG-PRD-AVD-Net-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-PRD-AVD-Mgmt-AZE","australiaeast","10.150.97.0/24","1","Production","No tags"
"ff8c2a20-d637-4ab4-b682-3a10f4d4d3d8","GRP_GROUP_NONPRD_SUB","RG-DBW-DEV-IFG-AZE01","workers-vnet","/subscriptions/ff8c2a20-d637-4ab4-b682-3a10f4d4d3d8/resourceGroups/RG-DBW-DEV-IFG-AZE01/providers/Microsoft.Network/virtualNetworks/workers-vnet","australiaeast","10.139.0.0/16","2","Production","No tags"
"ff8c2a20-d637-4ab4-b682-3a10f4d4d3d8","GRP_GROUP_NONPRD_SUB","RG-DBW-TST-IFG-AZE01","workers-vnet","/subscriptions/ff8c2a20-d637-4ab4-b682-3a10f4d4d3d8/resourceGroups/RG-DBW-TST-IFG-AZE01/providers/Microsoft.Network/virtualNetworks/workers-vnet","australiaeast","10.139.0.0/16","2","Production","No tags"
"ff8c2a20-d637-4ab4-b682-3a10f4d4d3d8","GRP_GROUP_NONPRD_SUB","RG-DEV-INSIGHTFACTORY-AZE","vNET01-GroupIT-Dev-AUEast","/subscriptions/ff8c2a20-d637-4ab4-b682-3a10f4d4d3d8/resourceGroups/RG-DEV-INSIGHTFACTORY-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-GroupIT-Dev-AUEast","australiaeast","10.156.52.0/23","0","Production","No tags"
"ff8c2a20-d637-4ab4-b682-3a10f4d4d3d8","GRP_GROUP_NONPRD_SUB","RG-DEV-INSIGHTFACTORY-MGMT-AZE","vNet02-Dev-IFCORE-AZE","/subscriptions/ff8c2a20-d637-4ab4-b682-3a10f4d4d3d8/resourceGroups/RG-DEV-INSIGHTFACTORY-MGMT-AZE/providers/Microsoft.Network/virtualNetworks/vNet02-Dev-IFCORE-AZE","australiaeast","10.150.218.0/23","5","Production","No tags"
"ff8c2a20-d637-4ab4-b682-3a10f4d4d3d8","GRP_GROUP_NONPRD_SUB","RG-TST-INSIGHTFACTORY-AZE","vNET01-GroupIT-Test-AUEast","/subscriptions/ff8c2a20-d637-4ab4-b682-3a10f4d4d3d8/resourceGroups/RG-TST-INSIGHTFACTORY-AZE/providers/Microsoft.Network/virtualNetworks/vNET01-GroupIT-Test-AUEast","australiaeast","10.156.54.0/23","0","Production","No tags"
